"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c"
232,99.0064,13.84743,"C2H3F3O","ETF",2.70920881661724,NA,3256154.48282503,3108496.65257505,3349051.03295067,4471622.53527969,4713612.90548126,4963870.43402356
233,354.9431,13.46363,NA,NA,4.29179162469551,NA,5547378.79058853,5582359.62386797,5698776.33511034,134547.680927106,141524.237904188,153349.624665574
234,302.2207,3.827647,NA,NA,0,NA,5256765.5775909,5138437.92749003,5465999.78914006,4978334.49134545,4645516.85009552,4821256.33024359
236,98.96429,13.74596,NA,NA,3.51624158621175,NA,1465218.88510702,1461784.36806154,1573283.1085954,4899158.27422165,4820938.18890143,4595702.56151742
237,297.153,1.97215,NA,NA,2.49791444077395,NA,5057785.57489095,5564796.23999367,5660669.02827577,2585273.41335416,2979385.82412007,2938757.36199912
239,174.9469,14.06661,NA,NA,2.70029662663481,NA,5214386.45611486,4649471.85329449,4537970.42072325,377727.18438355,231627.825660094,207283.27698909
240,173.0566,11.11943,"C6H10N2O4","Formiminoglutamic acid",2.73868953989938,NA,78229.3134281788,93178.919769528,115294.158735587,2202845.10232967,3327698.05708708,4947073.06923229
241,218.9051,13.7506,NA,NA,2.56823429737465,NA,1307377.51585901,1202149.27232141,1142030.35988286,4643195.01035823,4039413.24585845,3382881.24419408
242,196.8853,13.77895,NA,NA,0,NA,5607573.82968474,4705199.6411741,3550708.19975416,2641630.27572763,3112029.24792928,2245361.94877626
243,134.8947,6.740184,NA,NA,0,NA,3835408.45581304,3679577.8261652,3394633.7715237,2964718.15383614,2866535.03555936,2460981.33165136
244,240.0807,11.62515,NA,NA,3.17811325665758,NA,2407998.58900903,2344570.59105231,2426613.55781739,4451987.05472083,4382867.06423296,4760098.74054411
245,357.2843,2.594706,NA,NA,3.53562969871777,NA,384095.708059515,430796.284625625,450424.067885069,3964191.39373149,4222775.11409097,4767426.90722303
