"id","formula","degree","parent","score","parent_formula"
163,"C7H8O",3,303,0.99831042781464,"C7H10O2"
163,"C-1H12N2O3S Illegal_formula",17,4019,0,"C15H42N2O4S"
164,"C6H8N2",6,280,0.996583919079143,"C6H8N2O"
164,"C6H8N2",7,267,0.995935607770981,"C7H10N2"
164,"C6H8N2",8,2501,0.995480874036681,"C12H18N2O5"
165,"C8H12",5,177,0.997173592402252,"C8H14"
165,"C8H12",6,95,0.996514345706767,"C7H10"
166,"C2H7NO2S",5,91,0.997138743369206,"C2H6O2S"
166,"C2H7NO2S",6,584,0.99654305044517,"C4H9NO3S"
166,"C3H11NO-3S3 Illegal_formula",15,5197,0,"C14H28N2O6S3"
166,"C2H15N-3OS3 Illegal_formula",14,5530,0,"C12H27N2O7PS3"
166,"C4H4N3O-1P Illegal_formula",6,5196,0,"C15H21N4O8P"
166,"C10H3N-1 Illegal_formula",11,5197,0,"C21H20O9"
166,"C9H7N-5O4 Illegal_formula",12,5530,0,"C19H19O10P"
166,"C9H7N-5O4 Illegal_formula",11,5530,0,"C19H19O10P"
167,"C6H7NO",4,311,0.997720609345499,"C6H9NO2"
167,"C-2H11N3O3S Illegal_formula",18,4028,0,"C14H41N3O4S"
168,"C7H11N",5,287,0.997167769168921,"C7H11NO"
168,"C7H11N",6,95,0.996519034597998,"C7H10"
168,"C7H11N",9,37,0.994926857407247,"C5H7N"
169,"C-4H2N2O6S Illegal_formula",13,4041,0,"C12H32N2O7S"
169,"C4H-2O4 Illegal_formula",8,4041,0,"C20H28O5"
169,"C4H-2O4 Illegal_formula",5,4041,0,"C20H28O5"
170,"CH2O4S",3,593,5.40866526531167e-06,"C3H4O5S"
170,"C2H6O-1S3 Illegal_formula",13,290,0,"C2H6S3"
170,"C2H6O-1S3 Illegal_formula",7,593,0,"C4H8S3"
171,"C2H6OS2",5,614,0.9970686217266,"C3H6O3S2"
171,"C2H6OS2",6,594,0.996521166737701,"C4H8O2S2"
172,"C2H7O3P",8,39,0.768515921365508,"H3O3P"
172,"C2H7O3P",5,294,0.730418257588969,"C2H7O4P"
172,"C2H7O3P",6,284,0.729973975321119,"C2H8NO3P"
173,"C6H6S",5,295,0.997124515719278,"C6H6OS"
173,"C6H6S",6,278,0.99644899188678,"C7H8S"
173,"C6H6S",7,2531,0.996139826792185,"C12H16O5S"
174,"C6H6O2",3,190,0.998308069512083,"C6H8O2"
174,"C-2H10N2O4S Illegal_formula",17,4045,0,"C14H40N2O5S"
175,"C5H6N2O",4,320,0.997740111060077,"C5H8N2O2"
176,"C7H10O",3,303,0.998319803826778,"C7H10O2"
176,"C-1H14N2O3S Illegal_formula",18,4046,0,"C15H44N2O4S"
177,"C8H14",4,625,0.997747739735447,"C9H14O2"
178,"C5H5NO2",3,194,0.998312778527354,"C5H7NO2"
179,"C4H5N3O",6,195,0.996609839671518,"C4H7N3O"
179,"C9H8N-5O6P-1 Illegal_formula",11,5562,0,"C19H20O12"
179,"C9H8N-5O6P-1 Illegal_formula",8,5562,0,"C19H20O12"
180,"C6H9NO",4,311,0.997730096590377,"C6H9NO2"
180,"C-2H13N3O3S Illegal_formula",19,4057,0,"C14H43N3O4S"
181,"C5H9N3",7,611,0.996055199486966,"C7H11N3O"
181,"C5H9N3",9,44,0.994918653985001,"C3H5N3"
181,"C10H12N-5O5P-1 Illegal_formula",11,5563,0,"C20H24O11"
181,"C10H12N-5O5P-1 Illegal_formula",9,5563,0,"C20H24O11"
181,"C10H12N-5O5P-1 Illegal_formula",8,5563,0,"C20H24O11"
182,"C-6H-4N2O6S2 Illegal_formula",13,4065,0,"C10H26N2O7S2"
182,"C2H-8O4S Illegal_formula",11,4065,0,"C18H22O5S"
182,"C2H-8O4S Illegal_formula",9,4065,0,"C18H22O5S"
182,"C2H-8O4S Illegal_formula",8,4065,0,"C18H22O5S"
183,"CH4S3",11,34,0.00584390543649136,"CH4S2"
183,"CH4S3",8,444,0.00465821813279938,"C3H8S3"
