"ID","medMz","medRt","Formula","Metabolite","_log10_FDR","high_blank","artifact","log10_inten","mean_inten","nega-Ecoli-12C14N-a","nega-Ecoli-12C14N-b","nega-Ecoli-12C14N-c","nega-Yeast-12C14N-a","nega-Yeast-12C14N-b","nega-Yeast-12C14N-c","annotation"
8123,360.0209,2.703861,NA,NA,2.53400777921569,FALSE,NA,4.55075876542374,35543.3833333333,58296.19,88571.69,62771.42,1787,1209,625,"360.0209_2.703861"
8261,593.2818,2.703905,NA,NA,0,TRUE,"H2SO4(1.83151430176981) of 4364",4.6369262823579,43343.73,43802.13,54750.78,42323.3,41238.33,36253.87,41693.97,"artifact_593.2818_2.703905"
14081,604.27,2.704165,NA,NA,2.49482287912317,TRUE,NA,3.91468575840947,8216.47916666667,13035.65,10984.72,10428.49,5179.836,4632.845,5037.334,"604.27_2.704165"
16398,293.1961,2.704185,NA,NA,0,TRUE,NA,3.52916380092004,3381.92366666667,3060.76,31,2811.205,5056.978,5610.241,3721.358,"293.1961_2.704185"
1134,182.1187,2.704468,"C10H17NO2","Methyprylon",2.9490791630646,FALSE,"-H2O(2.79984097371394) of 540",5.63835720636678,434867.755,20245.55,10042.03,11126.05,898944.1,909663,759185.8,"C10H17NO2_Methyprylon_2.704468"
19225,607.2601,2.7046035,NA,NA,1.30184723773844,TRUE,NA,4.4060052147058,25468.6083333333,26553.72,46915.23,29188.82,17290.47,15458.81,17404.6,"607.2601_2.7046035"
1797,206.1552,2.704684,"C13H21NO","N-Desmethyl tapentadol",2.10833433566788,TRUE,NA,5.43523473735061,272417.333333333,205144.7,212485.3,171912.1,360251.1,326604,358106.8,"C13H21NO_N-Desmethyl tapentadol_2.704684"
9906,349.1871,2.704692,"C16H30O8","trans-p-Menthane-1,7,8-triol 8-glucoside",0,TRUE,NA,4.56205492886472,36480.0083333333,39758.8,33133.61,43270.35,34309.89,38818.38,29589.02,"C16H30O8_trans-p-Menthane-1,7,8-triol 8-glucoside_2.704692"
3371,472.2707,2.704699,NA,NA,1.86302590424217,TRUE,"H3PO4(1.97538973236597) of 810",5.09928527508616,125685.528333333,103333.4,94613.07,103669.4,136871.2,166233.9,149392.2,"artifact_472.2707_2.704699"
15069,449.3388,2.704717,NA,NA,1.38799008851369,FALSE,"-H2O(2.82173201578198) of 11933",4.09596419066324,12472.8066666667,1429,213,2419,22541.84,16230.34,32003.66,"artifact_449.3388_2.704717"
19367,622.2354,2.704754,NA,NA,0,TRUE,NA,3.77889293454543,6010.2555,5344.26,9764.855,3080.635,8935.92,4768.452,4167.411,"622.2354_2.704754"
11568,402.1368,2.70476,NA,NA,2.14562714880229,FALSE,NA,4.40151093865276,25206.4066666667,41972.71,56904.43,37380.67,7278.07,3293.429,4409.131,"402.1368_2.70476"
15685,507.243866666667,2.70480033333333,"C28H36N4O3S","ID14326",0,TRUE,"HCOOH(2.3765811820684) of 13444",4.44126287743,27622.4933333333,29732.7,39737.33,27093.66,19630.38,24646.84,24894.05,"C28H36N4O3S_ID14326_2.70480033333333"
12715,182.0354,2.704835,NA,NA,0,TRUE,"15N(1.82511450009182) of 26226",4.20126039108343,15894.9948333333,22890.6,24337.02,39712.97,1498,5,6926.379,"artifact_182.0354_2.704835"
