rt,mz,lg(signal),N,C,score,feature,adduct name,db_formula,ID
8.194279,167.056,3.810976294,0,4,0.959894478,Adduct,HCOOH,,13651
4.197945,760.513,4.228057462,1,38,0.8161793,Adduct,HCOOH,,10705
13.3821,230.0195,4.233147407,0,5,0.898599738,Adduct,HCOOK,,10944
13.37225,251.9892,4.270919249,1,4,0.950035742,Adduct,HCOOK,,10493
12.78408,156.0278,4.654892476,1,3,0.961868487,Adduct,HCOONa,,8122
11.74186,293.0491,4.426701059,0,6,0.967452159,Adduct,HCOONa,,7967
8.684001,184.0227,4.193857292,1,3,0.854523156,Adduct,HCOONa,,2982
8.666439,157.0117,4.631055038,0,3,0.952727904,Adduct,HCOONa,,14512
8.624005,197.0043,3.541709762,0,3,0.946040592,Adduct,HCOONa,,13984
8.613178,232.0591,4.526828104,1,9,0.991873584,Adduct,HCOONa,,9136
16.58774,410.2118,4.166453889,8,12,0.948547816,Adduct,HNO3,,11439
16.56283,236.1001,4.708493354,4,6,0.975192864,Adduct,HNO3,,7908
16.55577,217.0577,4.194102828,3,6,0.997564731,Adduct,HNO3,,10925
14.60437,566.1574,3.510747442,0,18,0.932839884,Adduct,HNO3,,13968
13.55861,231.9977,4.172347218,2,4,0.963443229,Adduct,HNO3,,10914
13.37196,231.9977,4.172347218,2,4,0.939271536,Adduct,HNO3,,10915
13.34618,246.9974,4.629266005,1,5,0.973799484,Adduct,HNO3,,8143
13.20989,230.0394,5.791895663,2,5,0.988858461,Adduct,HNO3,,1038
13.17998,208.0574,4.980131445,2,5,0.817664201,Adduct,HNO3,,5400
12.76753,229.9918,4.6167779,0,5,0.983151094,Adduct,HNO3,,8666
11.91496,316.0885,4.319980374,0,8,0.810113103,Adduct,HNO3,,14581
11.65081,190.0357,4.96388922,0,6,0.989699569,Adduct,HNO3,,5347
11.56296,422.1152,4.474556553,0,12,0.977643231,Adduct,HNO3,,8067
11.50013,242.0518,7.153821551,0,6,0.939593733,Adduct,HNO3,,98
11.27279,316.0885,4.277085412,0,9,0.897161455,Adduct,HNO3,,14580
11.07251,266.0631,4.059247017,2,7,0.952765256,Adduct,HNO3,,12278
10.60882,223.0571,4.196973702,1,6,0.949153961,Adduct,HNO3,,14887
10.56269,265.0442,4.163035683,1,9,0.994299883,Adduct,HNO3,,11496
10.00933,227.0521,3.815345071,0,5,0.984239026,Adduct,HNO3,,13414
9.559356,214.0569,4.419680015,0,5,0.993432804,Adduct,HNO3,,9724
9.414767,223.0572,4.551490392,1,6,0.921228685,Adduct,HNO3,,8802
9.28214,306.058,4.607858652,2,9,0.992000869,Adduct,HNO3,,1988
9.08785,296.0736,5.098655032,2,8,0.987325908,Adduct,HNO3,,4450
8.552095,285.04,3.772442821,1,7,0.867674569,Adduct,HNO3,,13463
8.508507,288.0603,3.583988787,2,11,0.8444345,Adduct,HNO3,,13874
7.969373,281.099,3.353393065,1,9,0.803060507,Adduct,HNO3,,14141
7.840861,320.0848,4.457394585,4,9,0.933836364,Adduct,HNO3,,9467
7.58195,359.0958,3.680403907,5,11,0.975588576,Adduct,HNO3,,10578
7.568206,308.0737,4.720535852,2,9,0.994370922,Adduct,HNO3,,7841
7.485289,231.0734,3.9793931,3,6,0.784604787,Adduct,HNO3,,12467
7.362139,306.058,5.499641186,2,9,0.933491331,Adduct,HNO3,,1987
7.332262,329.0849,4.638412867,5,10,0.972908656,Adduct,HNO3,,526
6.6409,258.0097,4.044155766,0,3,0.948009994,Adduct,HNO3,,11516
4.719195,210.0255,4.038383112,0,5,0.957792066,Adduct,HNO3,,12060
13.34579,331.055,5.757113081,2,10,0.982865478,Adduct,K-H,,1111
16.56281,445.1929,4.418903539,8,12,0.919551837,Adduct,K-H,,10003
14.47302,374.9569,4.526823227,4,7,0.854101149,Adduct,K-H,,9099
14.15433,520.9169,3.783349116,2,9,0.804295401,Adduct,K-H,,13164
14.14067,280.0357,5.068344459,1,5,0.942801873,Adduct,K-H,,4764
14.12019,444.0419,3.769303716,1,5,0.887445911,Adduct,K-H,,13216
14.11687,362.039,4.27173786,1,5,0.971177212,Adduct,K-H,,10713
14.01575,439.0023,4.015108619,0,8,0.912163252,Adduct,K-H,,12707
14.01202,460.9845,4.300645602,0,6,0.983082035,Adduct,K-H,,10644
